t	truth	gyro_int	acc	comp
8.55	0.23022	0.65743	0.22624	0.24401
8.60	0.22032	0.64924	0.18742	0.23567
8.65	0.20987	0.64116	0.25455	0.22147
8.70	0.19889	0.63223	0.15850	0.20607
8.75	0.18742	0.62362	0.23812	0.19249
8.80	0.17548	0.61376	0.30960	0.17942
8.85	0.16309	0.60416	0.18001	0.16562
8.90	0.15031	0.59422	0.02587	0.15864
8.95	0.13714	0.58364	0.29716	0.15045
9.00	0.12364	0.57288	0.14724	0.13590
9.05	0.10982	0.56115	-0.03158	0.12547
9.10	0.09573	0.54993	0.07124	0.11410
9.15	0.08140	0.53729	-0.00522	0.09319
9.20	0.06687	0.52537	0.04846	0.08143
9.25	0.05217	0.51276	0.02150	0.06298
9.30	0.03734	0.50032	-0.13020	0.04795
9.35	0.02241	0.48826	0.02404	0.03746
9.40	0.00743	0.47636	-0.06711	0.02384
9.45	-0.00757	0.46449	0.06584	0.01436
9.50	-0.02255	0.45135	0.15526	-0.00223
9.55	-0.03747	0.43947	-0.10806	-0.01506
9.60	-0.05230	0.42753	-0.14190	-0.03290
9.65	-0.06700	0.41594	-0.13114	-0.04238
9.70	-0.08153	0.40412	-0.13542	-0.05168
9.75	-0.09586	0.39309	-0.17723	-0.06969
9.80	-0.10994	0.38138	-0.12884	-0.07942
9.85	-0.12376	0.37005	-0.29874	-0.09562
9.90	-0.13726	0.36000	-0.17484	-0.10161
9.95	-0.15042	0.35060	-0.17775	-0.11363
10.00	-0.16321	0.34036	-0.24907	-0.13109
