t	zeta=0.2	zeta=0.707	zeta=1
5.52	1.04161	0.99957	0.99981
5.54	1.03720	0.99960	0.99981
5.56	1.03280	0.99962	0.99982
5.58	1.02841	0.99964	0.99983
5.60	1.02405	0.99966	0.99983
5.62	1.01972	0.99968	0.99984
5.64	1.01543	0.99970	0.99984
5.66	1.01119	0.99972	0.99985
5.68	1.00699	0.99974	0.99986
5.70	1.00285	0.99976	0.99986
5.72	0.99876	0.99977	0.99987
5.74	0.99475	0.99979	0.99987
5.76	0.99081	0.99981	0.99988
5.78	0.98694	0.99982	0.99988
5.80	0.98316	0.99984	0.99988
5.82	0.97946	0.99985	0.99989
5.84	0.97586	0.99986	0.99989
5.86	0.97235	0.99988	0.99990
5.88	0.96894	0.99989	0.99990
5.90	0.96563	0.99990	0.99990
5.92	0.96243	0.99991	0.99991
5.94	0.95934	0.99993	0.99991
5.96	0.95637	0.99994	0.99991
5.98	0.95351	0.99995	0.99992
6.00	0.95077	0.99996	0.99992
