# 조립기가 만든다 — 손으로 고치지 말 것.
# 키	절
relnotes-1.21	Introduction to Go 1.21
relnotes-1.21	New cmp package
relnotes-1.21	New log/slog package
relnotes-1.21	New maps package
relnotes-1.21	New slices package
relnotes-1.21	Runtime
relnotes-1.21	Tools
relnotes-1.21	WebAssembly
relnotes-1.21	WebAssembly System Interface
relnotes-1.21	bytes
relnotes-1.21	context
relnotes-1.21	encoding/binary
relnotes-1.21	errors
relnotes-1.21	flag
relnotes-1.21	reflect
relnotes-1.21	runtime
relnotes-1.21	sync
relnotes-1.21	syscall
relnotes-1.21	testing
relnotes-1.22	Changes to the language
relnotes-1.22	Compiler
relnotes-1.22	Enhanced routing patterns
relnotes-1.22	Go command
relnotes-1.22	New go/version package
relnotes-1.22	New math/rand/v2 package
relnotes-1.22	New warnings for deferring time.Since
relnotes-1.22	New warnings for mismatched key-value pairs in log/slog calls
relnotes-1.22	New warnings for missing values after append
relnotes-1.22	References to loop variables
relnotes-1.22	Runtime
relnotes-1.22	Trace
relnotes-1.22	cmp
relnotes-1.22	crypto/tls
relnotes-1.22	database/sql
relnotes-1.22	encoding
relnotes-1.22	encoding/json
relnotes-1.22	go/types
relnotes-1.22	reflect
relnotes-1.22	runtime/trace
relnotes-1.22	slices
relnotes-1.23	ARM64
relnotes-1.23	Changes to the language
relnotes-1.23	Go command
relnotes-1.23	Iterators
relnotes-1.23	Linker
relnotes-1.23	New unique package
relnotes-1.23	Runtime
relnotes-1.23	Telemetry
relnotes-1.23	Timer changes
relnotes-1.23	Vet
relnotes-1.23	go/types
relnotes-1.23	net/http
relnotes-1.23	slices
relnotes-1.23	sync
relnotes-1.23	sync/atomic
relnotes-1.23	text/template
relnotes-1.24	Changes to the language
relnotes-1.24	Directory-limited filesystem access
relnotes-1.24	FIPS 140-3 compliance
relnotes-1.24	Go command
relnotes-1.24	Improved finalizers
relnotes-1.24	New benchmark function
relnotes-1.24	New crypto/hkdf, crypto/pbkdf2, and crypto/sha3 packages
relnotes-1.24	New crypto/mlkem package
relnotes-1.24	New experimental testing/synctest package
relnotes-1.24	New weak package
relnotes-1.24	Runtime
relnotes-1.24	Standard library
relnotes-1.24	Vet
relnotes-1.24	WebAssembly
relnotes-1.24	bytes
relnotes-1.24	crypto/rand
relnotes-1.24	crypto/rsa
relnotes-1.24	crypto/tls
relnotes-1.24	encoding
relnotes-1.24	encoding/json
relnotes-1.24	go/types
relnotes-1.24	hash/maphash
relnotes-1.24	log/slog
relnotes-1.24	math/rand
relnotes-1.24	strings
relnotes-1.24	testing
relnotes-1.24	text/template
relnotes-1.25	AMD64
relnotes-1.25	Change to unhandled panic output
relnotes-1.25	Changes to the language
relnotes-1.25	Container-aware GOMAXPROCS
relnotes-1.25	DWARF5 support
relnotes-1.25	Darwin
relnotes-1.25	Faster slices
relnotes-1.25	Go command
relnotes-1.25	Introduction to Go 1.25
relnotes-1.25	Loong64
relnotes-1.25	New experimental encoding/json/v2 package
relnotes-1.25	New experimental garbage collector
relnotes-1.25	New testing/synctest package
relnotes-1.25	RISC-V
relnotes-1.25	Trace flight recorder
relnotes-1.25	VMA names on Linux
relnotes-1.25	Vet
relnotes-1.25	Windows
relnotes-1.25	crypto
relnotes-1.25	crypto/ecdsa
relnotes-1.25	crypto/rsa
relnotes-1.25	crypto/sha1
relnotes-1.25	crypto/sha3
relnotes-1.25	crypto/tls
relnotes-1.25	crypto/x509
relnotes-1.25	go/ast
relnotes-1.25	go/token
relnotes-1.25	go/types
relnotes-1.25	hash
relnotes-1.25	io/fs
relnotes-1.25	log/slog
relnotes-1.25	mime/multipart
relnotes-1.25	net/http
relnotes-1.25	nil pointer bug
relnotes-1.25	os
relnotes-1.25	reflect
relnotes-1.25	regexp/syntax
relnotes-1.25	runtime
relnotes-1.25	runtime/pprof
relnotes-1.25	sync
relnotes-1.25	testing
relnotes-1.25	testing/fstest
relnotes-1.25	unicode
relnotes-1.25	unique
relnotes-1.26	Bootstrap
relnotes-1.26	Changes to the language
relnotes-1.26	Compiler
relnotes-1.26	Darwin
relnotes-1.26	Experimental goroutine leak profile
relnotes-1.26	Faster cgo calls
relnotes-1.26	Go command
relnotes-1.26	Heap base address randomization
relnotes-1.26	Introduction to Go 1.26
relnotes-1.26	Linker
relnotes-1.26	New crypto/hpke package
relnotes-1.26	New experimental runtime/secret package
relnotes-1.26	New experimental simd/archsimd package
relnotes-1.26	New garbage collector
relnotes-1.26	PowerPC
relnotes-1.26	Pprof
relnotes-1.26	RISC-V
relnotes-1.26	S390X
relnotes-1.26	WebAssembly
relnotes-1.26	Windows
relnotes-1.26	bytes
relnotes-1.26	crypto/ecdh
relnotes-1.26	crypto/ecdsa
relnotes-1.26	crypto/ed25519
relnotes-1.26	crypto/fips140
relnotes-1.26	crypto/mlkem
relnotes-1.26	crypto/rsa
relnotes-1.26	crypto/sha3
relnotes-1.26	crypto/tls
relnotes-1.26	crypto/x509
relnotes-1.26	errors
relnotes-1.26	fmt
relnotes-1.26	go/ast
relnotes-1.26	go/token
relnotes-1.26	go/types
relnotes-1.26	image/jpeg
relnotes-1.26	io
relnotes-1.26	log/slog
relnotes-1.26	net
relnotes-1.26	net/http
relnotes-1.26	net/http/httptest
relnotes-1.26	net/http/httputil
relnotes-1.26	net/netip
relnotes-1.26	net/url
relnotes-1.26	os/signal
relnotes-1.26	reflect
relnotes-1.26	runtime/metrics
relnotes-1.26	testing
relnotes-1.26	testing/cryptotest
relnotes-1.26	time
relnotes-1.27	Changes to the language
relnotes-1.27	Compiler
relnotes-1.27	Darwin
relnotes-1.27	Experimental simd/archsimd package
relnotes-1.27	Faster memory allocation
relnotes-1.27	GODEBUG
relnotes-1.27	Go command
relnotes-1.27	Goroutine leak profile
relnotes-1.27	Introduction to Go 1.27
relnotes-1.27	New crypto/mldsa package
relnotes-1.27	New encoding/json/v2 and encoding/json/jsontext packages
relnotes-1.27	New experimental simd package
relnotes-1.27	New uuid package
relnotes-1.27	PowerPC
relnotes-1.27	Runtime
relnotes-1.27	Tools
relnotes-1.27	crypto/tls
relnotes-1.27	go doc
relnotes-1.27	go fix
relnotes-1.27	go mod tidy
relnotes-1.27	go test
relnotes-1.27	hash/maphash
relnotes-1.27	math/big
relnotes-1.27	net/http
relnotes-1.27	net/http/httptest
relnotes-1.27	net/url
relnotes-1.27	strings
relnotes-1.27	testing/synctest
relnotes-1.27	unicode
relnotes-1.28	Bootstrap
relnotes-1.28	DRAFT RELEASE NOTES — Introduction to Go 1.28
relnotes-1.28	Vet
relnotes-1.28	embed
relnotes-1.28	encoding/base32
relnotes-1.28	encoding/base64
relnotes-1.28	flag
relnotes-1.28	go/types
relnotes-1.28	net/http
relnotes-1.28	net/url
relnotes-1.28	testing/synctest
relnotes-1.3	Changes to the garbage collector
relnotes-1.3	Changes to the memory model
relnotes-1.3	Introduction to Go 1.3
relnotes-1.3	Major changes to the library
relnotes-1.3	Map iteration
relnotes-1.3	Performance
relnotes-1.3	Removal of support for Windows 2000
relnotes-1.3	Stack
relnotes-1.3	Support for DragonFly BSD
relnotes-1.3	Support for Native Client
relnotes-1.3	Support for Plan 9
relnotes-1.3	Support for Solaris
relnotes-1.3	The linker
relnotes-1.4	Android
relnotes-1.4	Canonical import paths
relnotes-1.4	Change to file name handling
relnotes-1.4	Changes to package source layout
relnotes-1.4	Changes to the runtime
relnotes-1.4	For-range loops
relnotes-1.4	Import paths for the subrepositories
relnotes-1.4	Internal packages
relnotes-1.4	Introduction to Go 1.4
relnotes-1.4	Method calls on **T
relnotes-1.4	Minor changes to the library
relnotes-1.4	NaCl on ARM
relnotes-1.4	Plan9 on AMD64
relnotes-1.4	The go generate subcommand
relnotes-1.4	syscall
relnotes-1.5	Assembler
relnotes-1.5	Build
relnotes-1.5	Flag
relnotes-1.5	Floats in math/big
relnotes-1.5	Garbage collector
relnotes-1.5	Go command
relnotes-1.5	Go doc command
relnotes-1.5	Go types
relnotes-1.5	Introduction to Go 1.5
relnotes-1.5	Linker
relnotes-1.5	Map literals
relnotes-1.5	Minor changes to the library
relnotes-1.5	Net
relnotes-1.5	No more C
relnotes-1.5	Performance
relnotes-1.5	Ports
relnotes-1.5	Renaming
relnotes-1.5	Runtime
relnotes-1.5	Trace command
relnotes-1.5	Translating
relnotes-1.6	Cgo
relnotes-1.6	Compiler Toolchain
relnotes-1.6	Go command
relnotes-1.6	Go vet command
relnotes-1.6	HTTP/2
relnotes-1.6	Introduction to Go 1.6
relnotes-1.6	Minor changes to the library
relnotes-1.6	Ports
relnotes-1.6	Runtime
relnotes-1.6	Sorting
relnotes-1.6	Templates
relnotes-1.7	Compiler Toolchain
relnotes-1.7	Context
relnotes-1.7	Go command
relnotes-1.7	Go tool trace
relnotes-1.7	Go vet
relnotes-1.7	Introduction to Go 1.7
relnotes-1.7	Testing
relnotes-1.7	encoding/json
relnotes-1.7	time
relnotes-1.8	Argument Liveness
relnotes-1.8	Cgo
relnotes-1.8	Changes to the language
relnotes-1.8	Compiler Toolchain
relnotes-1.8	Concurrent Map Misuse
relnotes-1.8	Default GOPATH
relnotes-1.8	Defer
relnotes-1.8	Garbage Collector
relnotes-1.8	Go bug
relnotes-1.8	Go doc
relnotes-1.8	HTTP Server Graceful Shutdown
relnotes-1.8	Introduction to Go 1.8
relnotes-1.8	More Context Support
relnotes-1.8	Plugins
relnotes-1.8	Sort
relnotes-1.8	encoding/json
relnotes-1.8	reflect
relnotes-1.9	Call stacks with inlined frames
relnotes-1.9	Changes to the language
relnotes-1.9	Concurrent Map
relnotes-1.9	Env
relnotes-1.9	Introduction to Go 1.9
relnotes-1.9	New bit manipulation package
relnotes-1.9	Parallel Compilation
relnotes-1.9	Test
relnotes-1.9	Test Helper Functions
relnotes-1.9	Transparent Monotonic Time support
relnotes-1.9	Vendor matching with ./…
relnotes-1.9	time
spec	An example package
spec	Defer statements
spec	For statements with for clause
spec	For statements with range clause
splash	10. Syntax
splash	11. Naming
splash	15. Composition not inheritance
splash	16. Errors
splash	17. Tools
splash	5. Dependencies in C and C++
splash	7. Dependencies in Go
toolchain	Module and workspace configuration
