band	ul_mhz	dl_mhz	duplex	generation	note	source
# 주파수 대역 색인 — tools/extract_bands.py 가 만든다.
# 손으로 고치지 말 것.
# band·ul_mhz·dl_mhz·duplex 는 규격 원문의 표에서 뽑았다
# (TS 36.101 표 5.5-1 · TS 38.101-1/2 표 5.2-1, 단위 MHz).
# note 칸만 사람이 붙인 흔한 이름이다 — 규격에 없는 칸이다.
# 지시서의 region 칸 대신 duplex·note 를 두었다.
# 규격에 없는 칸을 지어내지 않으려는 것이다.
65	1920-2010	2110-2200	FDD	5G(NR FR1)		3GPP TS 38.101-1 표 5.2-1
66	1710-1780	2110-2200	FDD	5G(NR FR1)		3GPP TS 38.101-1 표 5.2-1
67	738-758	738-758	SDL	5G(NR FR1)		3GPP TS 38.101-1 표 5.2-1
68	698-728	753-783	FDD	5G(NR FR1)		3GPP TS 38.101-1 표 5.2-1
70	1695-1710	1995-2020	FDD	5G(NR FR1)		3GPP TS 38.101-1 표 5.2-1
71	663-698	617-652	FDD	5G(NR FR1)		3GPP TS 38.101-1 표 5.2-1
72	451-456	461-466	FDD	5G(NR FR1)		3GPP TS 38.101-1 표 5.2-1
74	1427-1470	1475-1518	FDD	5G(NR FR1)		3GPP TS 38.101-1 표 5.2-1
75	1432-1517	1432-1517	SDL	5G(NR FR1)		3GPP TS 38.101-1 표 5.2-1
76	1427-1432	1427-1432	SDL	5G(NR FR1)		3GPP TS 38.101-1 표 5.2-1
77	3300-4200	3300-4200	TDD	5G(NR FR1)	3.3–4.2 GHz TDD — 한국 5G 의 주력	3GPP TS 38.101-1 표 5.2-1
78	3300-3800	3300-3800	TDD	5G(NR FR1)	3.3–3.8 GHz TDD — 유럽·한국의 주력	3GPP TS 38.101-1 표 5.2-1
79	4400-5000	4400-5000	TDD	5G(NR FR1)	4.4–5.0 GHz TDD (중국·일본)	3GPP TS 38.101-1 표 5.2-1
80	1710-1785	1710-1785	SUL	5G(NR FR1)		3GPP TS 38.101-1 표 5.2-1
81	880-915	880-915	SUL	5G(NR FR1)		3GPP TS 38.101-1 표 5.2-1
82	832-862	832-862	SUL	5G(NR FR1)		3GPP TS 38.101-1 표 5.2-1
83	703-748	703-748	SUL	5G(NR FR1)		3GPP TS 38.101-1 표 5.2-1
84	1920-1980	1920-1980	SUL	5G(NR FR1)		3GPP TS 38.101-1 표 5.2-1
85	698-716	728-746	FDD	5G(NR FR1)		3GPP TS 38.101-1 표 5.2-1
86	1710-1780	1710-1780	SUL	5G(NR FR1)		3GPP TS 38.101-1 표 5.2-1
87	410-415	420-425	FDD	5G(NR FR1)		3GPP TS 38.101-1 표 5.2-1
